[2020-01-04 17:35:39,809]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?=", "request": {"": ""}, "responese": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NzgxMzQxMzksIm5iZiI6MTU3ODEzNDEzOSwianRpIjoiY2Y4MWEwYzgtNzQzZS00YjFiLWFiNTktMTYwYjJhYzBhY2M1IiwiZXhwIjoxNTc4NzM4OTM5LCJpZGVudGl0eSI6ImFkbWluX3Rva29AZ21haWwuY29tIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiamVuaXNfYWt1biI6ImFkbWluX3Rva28ifX0.14oSs0yTyqZLQnjCXw3VwMQ6SPrGQC0mrKA-ON59IDI"}}
[2020-01-04 17:51:20,088]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "uri": "/client?", "request": {}, "responese": {"id": 3, "nama": "Supplier1", "no_telepon": 81289899090, "no_rekening": "4536789098757", "lokasi": "Jl. Ratu Dibalau no. 135 Kel. Pisang Candi, Malang", "email": "supplier1@gmail.com", "password": "00afb914b3b33a4657fe6ab85d3a89e3", "jenis_akun": "supplier", "created_at": "Sat, 04 Jan 2020 17:50:50 -0000", "updated_at": null}}
[2020-01-04 17:53:16,403]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?", "request": {}, "responese": null}
[2020-01-04 17:54:15,328]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?", "request": {}, "responese": null}
[2020-01-04 17:54:43,665]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?", "request": {}, "responese": null}
[2020-01-04 17:55:06,765]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?", "request": {}, "responese": null}
[2020-01-04 17:56:29,401]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "uri": "/auth?", "request": {}, "responese": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NzgxMzUzODksIm5iZiI6MTU3ODEzNTM4OSwianRpIjoiMzlkYTUyODUtYjQ5Mi00NTQ2LWJkYjUtMTQzOWU1MWViZTRhIiwiZXhwIjoxNTc4NzQwMTg5LCJpZGVudGl0eSI6InN1cHBsaWVyMUBnbWFpbC5jb20iLCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJpZCI6MywiZW1haWwiOiJzdXBwbGllcjFAZ21haWwuY29tIiwicGFzc3dvcmQiOiIwMGFmYjkxNGIzYjMzYTQ2NTdmZTZhYjg1ZDNhODllMyIsImplbmlzX2FrdW4iOiJzdXBwbGllciJ9fQ.JqbSS4IZu8sktFtrCk4nDbfcdTuAFyZ3H2M4G72orTU"}}
[2020-01-04 18:13:55,060]{/home/alta2/E-commerce-project/blueprints/__init__.py:75} ERROR -REQUEST_LOG	{"status_code": 400, "method": "POST", "code": "400 BAD REQUEST", "uri": "/client?", "request": {}, "responese": {"message": "Failed to decode JSON object: Expecting ',' delimiter: line 8 column 2 (char 214)"}}
[2020-01-04 18:30:53,103]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "uri": "/client?", "request": {}, "responese": {"id": 4, "nama": "Pembeli1", "no_telepon": 812897896095, "no_rekening": "454759699098757", "lokasi": "Jl. Kaisar Pangareb no. 135 Kel. Pisang Candi, Malang", "email": "pembeli1@gmail.com", "password": "47255ff8879a2522792558b736878ec1", "jenis_akun": "pembeli", "created_at": "Sat, 04 Jan 2020 17:56:16 -0000", "updated_at": null}}
[2020-01-04 18:32:23,042]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "uri": "/client?", "request": {}, "responese": {"id": 5, "nama": "Pembeli2", "no_telepon": 84567896095, "no_rekening": "789059699098757", "lokasi": "Jl. Pangeran Djuanda no. 1 Kel. Pisang Candi, Malang", "email": "pembeli2@gmail.com", "password": "37dbd376467cd5b15eee8f978c55aaf8", "jenis_akun": "pembeli", "created_at": "Sat, 04 Jan 2020 17:56:16 -0000", "updated_at": null}}
[2020-01-04 18:34:40,207]{/home/alta2/E-commerce-project/blueprints/__init__.py:65} INFO -REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "uri": "/client?", "request": {}, "responese": {"id": 6, "nama": "Supplier2", "no_telepon": 85743196095, "no_rekening": "923435699098757", "lokasi": "Jl. Sultan Agung no. 1 Kel. Pisang Candi, Malang", "email": "supplier2@gmail.com", "password": "cd0989e864b7c6e4f85b7936c694060c", "jenis_akun": "supplier", "created_at": "Sat, 04 Jan 2020 17:56:16 -0000", "updated_at": null}}
